Country,Value
Afghanistan,10098158
Albania,2336192
Algeria,3783943
American Samoa,3784
Andorra,17837
Angola,1306268
Anguilla,5272
Antigua and Barbuda,107682
Argentina,1960374
Armenia,1911857
Aruba,37195
Australia,1107091
Austria,1107519
Azerbaijan,2293689
Bahamas,89620
Bahrain,118102
Bangladesh,15143120
Barbados,216692
Belarus,2953074
Belgium,1114328
Belize,131414
Benin,1301497
Bermuda,34577
Bhutan,97230
Bolivia (Plurinational State of),1704070
"Bonaire, Sint Eustatius and Saba",24422
Bosnia and Herzegovina,3259330
Botswana,163949
Brazil,3276345
British Virgin Islands,10624
Brunei Darussalam,92657
Bulgaria,2697730
Burkina Faso,3099183
Burundi,1086085
Cabo Verde,358694
Cambodia,2140565
Cameroon,735163
Canada,2609968
Cayman Islands,3734
Central African Republic,1453737
Chad,398558
Channel Islands,42431
Chile,1270279
China,20898823
"China, Hong Kong SAR",2154471
"China, Macao SAR",302975
Colombia,5573150
Comoros,236350
Congo,466163
Cook Islands,44049
Costa Rica,289954
Côte d'Ivoire,2169663
Croatia,1806481
Cuba,3162479
Curaçao,152639
Cyprus,407090
Czechia,1748285
Dem. People's Republic of Korea,220648
Democratic Republic of the Congo,3203945
Denmark,497607
Djibouti,35756
Dominica,152500
Dominican Republic,3015699
Ecuador,2314741
Egypt,6735704
El Salvador,3115703
Equatorial Guinea,242692
Eritrea,1338932
Estonia,403424
Eswatini,183936
Ethiopia,1653361
Falkland Islands (Malvinas),3077
Faroe Islands,28615
Fiji,430714
Finland,578956
France,4432375
French Guiana,8969
French Polynesia,3815
Gabon,90143
Gambia,208739
Georgia,1694570
Germany,7771435
Ghana,1876649
Gibraltar,26999
Greece,1866035
Greenland,36845
Grenada,145745
Guadeloupe,23255
Guam,4342
Guatemala,2325191
Guinea,1016580
Guinea-Bissau,202007
Guyana,1004029
Haiti,3055516
Holy See,523
Honduras,1531863
Hungary,1187184
Iceland,81243
India,33446161
Indonesia,8614792
Iran (Islamic Republic of),2474501
Iraq,3777632
Ireland,1561454
Isle of Man,24036
Israel,709205
Italy,5771620
Jamaica,2143147
Japan,1619864
Jordan,1489829
Kazakhstan,7910501
Kenya,1010402
Kiribati,8492
Kuwait,394157
Kyrgyzstan,1500408
Lao People's Democratic Republic,2632370
Latvia,640183
Lebanon,1614076
Lesotho,646946
Liberia,426063
Libya,339209
Liechtenstein,7287
Lithuania,1169993
Luxembourg,145316
Madagascar,360426
Malawi,627818
Malaysia,3485165
Maldives,5988
Mali,2487536
Malta,214972
Marshall Islands,15823
Martinique,27363
Mauritania,236851
Mauritius,361453
Mayotte,13135
Mexico,23720882
Micronesia (Fed. States of),42453
Monaco,60805
Mongolia,140360
Montenegro,307680
Montserrat,43623
Morocco,6121397
Mozambique,1941238
Myanmar,6541540
Namibia,370035
Nauru,4696
Nepal,4299315
Netherlands,1879185
New Caledonia,9383
New Zealand,1533468
Nicaragua,1350655
Niger,767741
Nigeria,2761557
Niue,10962
North Macedonia,1239690
Northern Mariana Islands,5403
Norway,398686
Oman,43188
Pakistan,12613229
Palau,5211
Panama,313749
Papua New Guinea,9831
Paraguay,1723729
Peru,2961003
Philippines,11520641
Poland,8692130
Portugal,4173290
Puerto Rico,3569444
Qatar,51026
Republic of Korea,4519279
Republic of Moldova,1956004
Réunion,6306
Romania,7084669
Russian Federation,20847536
Rwanda,1011913
Saint Helena,12225
Saint Kitts and Nevis,84418
Saint Lucia,122728
Saint Pierre and Miquelon,836
Saint Vincent and the Grenadines,130969
Samoa,241102
San Marino,6081
Sao Tome and Principe,72399
Saudi Arabia,578236
Senegal,1242708
Serbia,1797180
Seychelles,58223
Sierra Leone,296733
Singapore,677235
Sint Maarten (Dutch part),51944
Slovakia,670374
Slovenia,278352
Solomon Islands,8104
Somalia,4036362
South Africa,1654345
South Sudan,3646635
Spain,2646378
Sri Lanka,3535022
State of Palestine,7521110
Sudan,3889191
Suriname,566985
Sweden,692413
Switzerland,1355727
Syrian Arab Republic,14547913
Tajikistan,1164572
Thailand,1872701
Timor-Leste,76625
Togo,1026820
Tokelau,4413
Tonga,123653
Trinidad and Tobago,770544
Tunisia,1608641
Turkey,6613868
Turkmenistan,484083
Turks and Caicos Islands,5311
Tuvalu,6484
Uganda,1494646
Ukraine,11792071
United Arab Emirates,307598
United Kingdom,9181112
United Republic of Tanzania,626437
United States of America,5647996
United States Virgin Islands,8075
Uruguay,725391
Uzbekistan,3944151
Vanuatu,14233
Venezuela (Bolivarian Republic of),3239840
Viet Nam,5492314
Wallis and Futuna Islands,23045
Western Sahara,383625
Yemen,2343154
Zambia,579293
Zimbabwe,1786109